p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
0.9,2000,0.1630720398,OK,OPTIMAL,-0.169899667,OK,OPTIMAL,10,1
0.8,2000,0.2992598565,OK,OPTIMAL,-0.308092867,OK,OPTIMAL,10,1
0.7,2000,0.4269715164,OK,OPTIMAL,-0.438367707,OK,OPTIMAL,10,1
0.6,2000,0.5579082675,OK,OPTIMAL,-0.570044044,OK,OPTIMAL,10,1
0.5,2000,0.6967033603,OK,OPTIMAL,-0.704290394,OK,OPTIMAL,10,1
0.4,2000,0.8484650488,OK,OPTIMAL,-0.849219319,OK,OPTIMAL,10,1
0.3,2000,1.017931548,OK,OPTIMAL,-1.016636808,OK,OPTIMAL,10,1
0.2,2000,1.2309025271,OK,OPTIMAL,-1.233465189,OK,OPTIMAL,10,1
0.1,2000,1.537815024,OK,OPTIMAL,-1.552218538,OK,OPTIMAL,10,1
1,2000,0.008581018,OK,BEST_FE,0.008581018,OK,OPTIMAL,1,2
0.9,2000,0.3323551388,OK,BEST_FE,-0.283390993,OK,BEST_FE,1,2
0.8,2000,0.4843866381,OK,OPTIMAL,-0.434094588,OK,OPTIMAL,1,2
0.7,2000,0.6217595943,OK,OPTIMAL,-0.57189686,OK,OPTIMAL,1,2
0.6,2000,0.6651075273,OK,BEST_FE,-0.701581459,OK,OPTIMAL,1,2
0.5,2000,0.7974326855,OK,OPTIMAL,-0.692338058,OK,BEST_FE,1,2
0.4,2000,0.9417093148,OK,OPTIMAL,-0.896108278,OK,OPTIMAL,1,2
0.3,2000,1.1035293134,OK,OPTIMAL,-1.069563065,OK,BEST_FE,1,2
0.2,2000,1.4355966591,OK,OPTIMAL,-1.638440665,OK,BEST_FE,1,2
0.1,2000,2.8488046643,OK,BEST_FE,-2.027911464,OK,OPTIMAL,1,2
1,2000,-0.028692195,OK,OPTIMAL,-0.028692195,OK,BEST_FE,2,2
0.9,2000,0.3032574469,OK,BEST_FE,-0.207948642,OK,OPTIMAL,2,2
0.8,2000,0.4459909936,OK,OPTIMAL,-0.487883374,OK,BEST_FE,2,2
0.7,2000,0.4949124671,OK,BEST_FE,-0.620801271,OK,OPTIMAL,2,2
0.6,2000,0.6219190576,OK,BEST_FE,-0.74723075,OK,OPTIMAL,2,2
0.5,2000,0.7488126015,OK,OPTIMAL,-0.856540655,OK,OPTIMAL,2,2
0.4,2000,0.8953462814,OK,OPTIMAL,-1.126144103,OK,OPTIMAL,2,2
0.3,2000,1.0582456668,OK,OPTIMAL,-1.289643598,OK,OPTIMAL,2,2
0.2,2000,1.2826319718,OK,OPTIMAL,-2.227238087,OK,OPTIMAL,2,2
0.1,2000,2.9057570146,OK,BEST_FE,-2.808770036,OK,OPTIMAL,2,2
1,2000,-0.003431402,OK,OPTIMAL,-0.003431402,OK,BEST_FE,3,2
0.9,2000,0.3033355658,OK,BEST_FE,-0.338707431,OK,BEST_FE,3,2
0.8,2000,0.4425102676,OK,OPTIMAL,-0.485224498,OK,BEST_FE,3,2
0.7,2000,0.4885177739,OK,BEST_FE,-0.613057536,OK,OPTIMAL,3,2
0.6,2000,0.614295119,OK,OPTIMAL,-0.734825261,OK,OPTIMAL,3,2
0.5,2000,0.743328497,OK,OPTIMAL,-0.755003176,OK,BEST_FE,3,2
0.4,2000,0.8802499103,OK,OPTIMAL,-0.885200078,OK,OPTIMAL,3,2
0.3,2000,1.0424675927,OK,OPTIMAL,-1.036903875,OK,OPTIMAL,3,2
0.2,2000,1.3637312646,OK,OPTIMAL,-1.225676229,OK,OPTIMAL,3,2
0.1,2000,2.6615675152,OK,BEST_FE,-2.743783503,OK,BEST_FE,3,2
1,2000,0.0088679367,OK,BEST_FE,0.0088679367,OK,OPTIMAL,4,2
0.9,2000,0.278761775,OK,BEST_FE,-0.286789072,OK,BEST_FE,4,2
0.8,2000,0.4248095744,OK,OPTIMAL,-0.434759273,OK,OPTIMAL,4,2
0.7,2000,0.4673530201,OK,BEST_FE,-0.476169419,OK,BEST_FE,4,2
0.6,2000,0.5973053244,OK,BEST_FE,-0.603774211,OK,OPTIMAL,4,2
0.5,2000,0.7978699897,OK,BEST_FE,-0.826132892,OK,BEST_FE,4,2
0.4,2000,1.2714611043,OK,BEST_FE,-0.869802896,OK,OPTIMAL,4,2
0.3,2000,1.574880593,OK,BEST_FE,-1.765021794,OK,BEST_FE,4,2
0.2,2000,1.7100697873,OK,BEST_FE,-1.896409553,OK,BEST_FE,4,2
0.1,2000,2.1211351697,OK,BEST_FE,-2.398258147,OK,BEST_FE,4,2
1,2000,-0.02423713,OK,OPTIMAL,-0.02423713,OK,BEST_FE,5,2
0.9,2000,0.3284562648,OK,BEST_FE,-0.354226497,OK,BEST_FE,5,2
0.8,2000,0.474994486,OK,OPTIMAL,-0.504692133,OK,BEST_FE,5,2
0.7,2000,0.522467807,OK,BEST_FE,-0.634221218,OK,OPTIMAL,5,2
0.6,2000,0.651053653,OK,BEST_FE,-0.759424366,OK,OPTIMAL,5,2
0.5,2000,0.7806386163,OK,OPTIMAL,-0.885484394,OK,OPTIMAL,5,2
0.4,2000,0.9207692058,OK,OPTIMAL,-1.048689546,OK,OPTIMAL,5,2
0.3,2000,1.0825312951,OK,OPTIMAL,-1.337044062,OK,OPTIMAL,5,2
0.2,2000,1.3344487621,OK,OPTIMAL,-1.366275575,OK,OPTIMAL,5,2
0.1,2000,1.644658217,OK,OPTIMAL,-3.11031267,OK,OPTIMAL,5,2
1,2000,-0.021159629,OK,OPTIMAL,-0.021159629,OK,BEST_FE,6,2
0.9,2000,0.2680866186,OK,BEST_FE,-0.332143709,OK,BEST_FE,6,2
0.8,2000,0.4149655865,OK,OPTIMAL,-0.477271154,OK,OPTIMAL,6,2
0.7,2000,0.4496498376,OK,BEST_FE,-0.524989869,OK,BEST_FE,6,2
0.6,2000,0.579700462,OK,BEST_FE,-0.654879964,OK,BEST_FE,6,2
0.5,2000,0.790992726,OK,BEST_FE,-0.789352176,OK,OPTIMAL,6,2
0.4,2000,0.9326453305,OK,BEST_FE,-0.93546554,OK,OPTIMAL,6,2
0.3,2000,1.6470037248,OK,BEST_FE,-1.09463925,OK,OPTIMAL,6,2
0.2,2000,1.7781686743,OK,BEST_FE,-1.295129109,OK,OPTIMAL,6,2
0.1,2000,2.2368063481,OK,BEST_FE,-1.690133674,OK,OPTIMAL,6,2
1,2000,-0.012000559,OK,OPTIMAL,-0.012000559,OK,BEST_FE,7,2
0.9,2000,0.2775450483,OK,BEST_FE,-0.29739762,OK,BEST_FE,7,2
0.8,2000,0.4242918519,OK,OPTIMAL,-0.441877177,OK,OPTIMAL,7,2
