p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
0.5,20000,0.2842025854,OK,OPTIMAL,28,-0.292907964,OK,OPTIMAL,6
0.4,20000,0.3543030998,OK,OPTIMAL,35,-0.365039637,OK,OPTIMAL,6
0.3,20000,0.425668985,OK,OPTIMAL,46,-0.441154849,OK,OPTIMAL,6
0.2,20000,0.5217976212,OK,OPTIMAL,70,-0.534657139,OK,OPTIMAL,6
0.1,20000,0.6610710812,OK,OPTIMAL,140,-0.672172609,OK,OPTIMAL,6
1,20000,0.0029500841,OK,OPTIMAL,14,0.0029500839,OK,BEST_FE,7
0.9,20000,0.0590879086,OK,OPTIMAL,15,-0.053754861,OK,OPTIMAL,7
0.8,20000,0.119378907,OK,OPTIMAL,17,-0.114004411,OK,OPTIMAL,7
0.7,20000,0.1767564705,OK,OPTIMAL,20,-0.171665361,OK,OPTIMAL,7
0.6,20000,0.2340286678,OK,OPTIMAL,23,-0.228805411,OK,OPTIMAL,7
0.5,20000,0.2892724081,OK,OPTIMAL,28,-0.28354388,OK,OPTIMAL,7
0.4,20000,0.3606659163,OK,OPTIMAL,35,-0.353744707,OK,OPTIMAL,7
0.3,20000,0.436506564,OK,OPTIMAL,46,-0.428728335,OK,OPTIMAL,7
0.2,20000,0.5311596535,OK,OPTIMAL,70,-0.523106056,OK,OPTIMAL,7
0.1,20000,0.6717999578,OK,OPTIMAL,140,-0.661849381,OK,OPTIMAL,7
1,20000,0.0004539227,OK,OPTIMAL,14,0.0004539227,OK,BEST_FE,8
0.9,20000,0.055993303,OK,OPTIMAL,15,-0.055857473,OK,OPTIMAL,8
0.8,20000,0.116066934,OK,OPTIMAL,17,-0.116173428,OK,OPTIMAL,8
0.7,20000,0.1736920515,OK,OPTIMAL,20,-0.173628628,OK,OPTIMAL,8
0.6,20000,0.2314397785,OK,OPTIMAL,23,-0.231174042,OK,OPTIMAL,8
0.5,20000,0.2870776319,OK,OPTIMAL,28,-0.286211766,OK,OPTIMAL,8
0.4,20000,0.3578770259,OK,OPTIMAL,35,-0.356180559,OK,OPTIMAL,8
0.3,20000,0.4299225386,OK,OPTIMAL,46,-0.429799651,OK,OPTIMAL,8
0.2,20000,0.5271557454,OK,OPTIMAL,70,-0.522315555,OK,OPTIMAL,8
0.1,20000,0.6668608734,OK,OPTIMAL,140,-0.658215625,OK,OPTIMAL,8
1,20000,0.0001467967,OK,OPTIMAL,14,0.0001467966,OK,BEST_FE,9
0.9,20000,0.0566994204,OK,OPTIMAL,15,-0.056183729,OK,OPTIMAL,9
0.8,20000,0.1169064649,OK,OPTIMAL,17,-0.116518695,OK,OPTIMAL,9
0.7,20000,0.1743096012,OK,OPTIMAL,20,-0.174226235,OK,OPTIMAL,9
0.6,20000,0.231490428,OK,OPTIMAL,23,-0.231363632,OK,OPTIMAL,9
0.5,20000,0.2863655905,OK,OPTIMAL,28,-0.286104143,OK,OPTIMAL,9
0.4,20000,0.3574956561,OK,OPTIMAL,35,-0.356989682,OK,OPTIMAL,9
0.3,20000,0.4330727619,OK,OPTIMAL,46,-0.432458354,OK,OPTIMAL,9
0.2,20000,0.5272556547,OK,OPTIMAL,70,-0.527394936,OK,OPTIMAL,9
0.1,20000,0.6662129069,OK,OPTIMAL,140,-0.667544487,OK,OPTIMAL,9
1,20000,-0.001594458,OK,BEST_FE,14,-0.001594458,OK,OPTIMAL,10
0.9,20000,0.054096703,OK,OPTIMAL,15,-0.056885725,OK,OPTIMAL,10
0.8,20000,0.1140160381,OK,OPTIMAL,17,-0.117083268,OK,OPTIMAL,10
0.7,20000,0.1714283505,OK,OPTIMAL,20,-0.174836485,OK,OPTIMAL,10
0.6,20000,0.2285322505,OK,OPTIMAL,23,-0.232082884,OK,OPTIMAL,10
0.5,20000,0.2834105132,OK,OPTIMAL,28,-0.286641756,OK,OPTIMAL,10
0.4,20000,0.354193058,OK,OPTIMAL,35,-0.356893347,OK,OPTIMAL,10
0.3,20000,0.4288194347,OK,OPTIMAL,46,-0.431450189,OK,OPTIMAL,10
0.2,20000,0.5207923713,OK,OPTIMAL,70,-0.524354206,OK,OPTIMAL,10
0.1,20000,0.6555364317,OK,OPTIMAL,140,-0.662049456,OK,OPTIMAL,10
