p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
0.4,5000,0.3664040076,OK,OPTIMAL,-0.382182287,OK,OPTIMAL,6
0.3,5000,0.4383045882,OK,OPTIMAL,-0.460313803,OK,OPTIMAL,6
0.2,5000,0.5272684939,OK,OPTIMAL,-0.555722527,OK,OPTIMAL,6
0.1,5000,0.661340591,OK,OPTIMAL,-0.697150399,OK,OPTIMAL,6
1,5000,0.0078047634,OK,OPTIMAL,0.0078047633,OK,BEST_FE,7
0.9,5000,0.0777718626,OK,OPTIMAL,-0.063703405,OK,OPTIMAL,7
0.8,5000,0.1386316541,OK,OPTIMAL,-0.124862959,OK,OPTIMAL,7
0.7,5000,0.1969314282,OK,OPTIMAL,-0.18290002,OK,OPTIMAL,7
0.6,5000,0.256206657,OK,OPTIMAL,-0.241532133,OK,OPTIMAL,7
0.5,5000,0.317784155,OK,OPTIMAL,-0.302218213,OK,OPTIMAL,7
0.4,5000,0.3846974011,OK,OPTIMAL,-0.367693565,OK,OPTIMAL,7
0.3,5000,0.4606198908,OK,OPTIMAL,-0.441944212,OK,OPTIMAL,7
0.2,5000,0.5561713803,OK,OPTIMAL,-0.533107459,OK,OPTIMAL,7
0.1,5000,0.6986223366,OK,OPTIMAL,-0.668992797,OK,OPTIMAL,7
1,5000,0.0025671117,OK,OPTIMAL,0.0025671117,OK,BEST_FE,8
0.9,5000,0.0737697221,OK,OPTIMAL,-0.069081447,OK,OPTIMAL,8
0.8,5000,0.1340250723,OK,OPTIMAL,-0.12956611,OK,OPTIMAL,8
0.7,5000,0.1909812445,OK,OPTIMAL,-0.186066033,OK,OPTIMAL,8
0.6,5000,0.2488972958,OK,OPTIMAL,-0.243933408,OK,OPTIMAL,8
0.5,5000,0.3091839914,OK,OPTIMAL,-0.304078723,OK,OPTIMAL,8
0.4,5000,0.3751905368,OK,OPTIMAL,-0.369804755,OK,OPTIMAL,8
0.3,5000,0.4513740313,OK,OPTIMAL,-0.444871817,OK,OPTIMAL,8
0.2,5000,0.5486995979,OK,OPTIMAL,-0.540875369,OK,OPTIMAL,8
0.1,5000,0.6944823562,OK,OPTIMAL,-0.685713523,OK,OPTIMAL,8
1,5000,-0.007349851,OK,BEST_FE,-0.007349857,OK,OPTIMAL,9
0.9,5000,0.0609508428,OK,OPTIMAL,-0.075706768,OK,OPTIMAL,9
0.8,5000,0.119800822,OK,OPTIMAL,-0.134984754,OK,OPTIMAL,9
0.7,5000,0.175220846,OK,OPTIMAL,-0.190846155,OK,OPTIMAL,9
0.6,5000,0.2308055915,OK,OPTIMAL,-0.246001741,OK,OPTIMAL,9
0.5,5000,0.2891305361,OK,OPTIMAL,-0.303793262,OK,OPTIMAL,9
0.4,5000,0.3535308607,OK,OPTIMAL,-0.367449665,OK,OPTIMAL,9
0.3,5000,0.4286308434,OK,OPTIMAL,-0.441137918,OK,OPTIMAL,9
0.2,5000,0.5207857323,OK,OPTIMAL,-0.533557558,OK,OPTIMAL,9
0.1,5000,0.6552603693,OK,OPTIMAL,-0.669096085,OK,OPTIMAL,9
1,5000,-0.004682387,OK,BEST_FE,-0.004682387,OK,OPTIMAL,10
0.9,5000,0.0659812241,OK,OPTIMAL,-0.07369163,OK,OPTIMAL,10
0.8,5000,0.1267954877,OK,OPTIMAL,-0.134359595,OK,OPTIMAL,10
0.7,5000,0.1837532568,OK,OPTIMAL,-0.192196227,OK,OPTIMAL,10
0.6,5000,0.2411680635,OK,OPTIMAL,-0.25032182,OK,OPTIMAL,10
0.5,5000,0.3009721748,OK,OPTIMAL,-0.31033995,OK,OPTIMAL,10
0.4,5000,0.3666851307,OK,OPTIMAL,-0.376342269,OK,OPTIMAL,10
0.3,5000,0.4406853605,OK,OPTIMAL,-0.452202239,OK,OPTIMAL,10
0.2,5000,0.531634245,OK,OPTIMAL,-0.548327978,OK,OPTIMAL,10
0.1,5000,0.6636845112,OK,OPTIMAL,-0.688108242,OK,OPTIMAL,10
