p,group,k,bound,maxb,minb,maxb0,minb0,maxb2,minb2
0.6,8,2000,0.2526402497,0.2584722087,-0.24680937,0.0058460436,0.0058460436,0.2526261651,-0.252655414
0.5,8,2000,0.3130554943,0.3183781206,-0.306696451,0.0058460436,0.0058460436,0.312532077,-0.312542495
0.4,8,2000,0.3789603745,0.3860624192,-0.374320768,0.0058460436,0.0058460436,0.3802163756,-0.380166811
0.3,8,2000,0.4547319606,0.4657545702,-0.44973672,0.0058460436,0.0058460436,0.4599085266,-0.455582764
0.2,8,2000,0.5492249235,0.5635775562,-0.545310311,0.0058460436,0.0058460436,0.5577315126,-0.551156354
0.1,8,2000,0.6885797739,0.7019325474,-0.695221659,0.0058460436,0.0058460436,0.6960865038,-0.701067702
1,9,2000,3.627695E-16,-0.021514698,-0.021514713,-0.021514698,-0.021514713,0,0
0.9,9,2000,0.0765088638,0.0507046762,-0.097375183,-0.021514698,-0.021514713,0.0722193745,-0.07586047
0.8,9,2000,0.1373062309,0.1118156784,-0.158039812,-0.021514698,-0.021514713,0.1333303767,-0.136525098
0.7,9,2000,0.194885126,0.1684588552,-0.214141877,-0.021514698,-0.021514713,0.1899735535,-0.192627164
0.6,9,2000,0.2526402497,0.225026625,-0.270228243,-0.021514698,-0.021514713,0.2465413232,-0.24871353
0.5,9,2000,0.3130554943,0.2854136451,-0.328439584,-0.021514698,-0.021514713,0.3069283434,-0.306924871
0.4,9,2000,0.3789603745,0.3527970537,-0.392544526,-0.021514698,-0.021514713,0.3743117519,-0.371029812
0.3,9,2000,0.4547319606,0.4312042401,-0.468037024,-0.021514698,-0.021514713,0.4527189383,-0.446522311
0.2,9,2000,0.5492249235,0.5319626418,-0.562208788,-0.021514698,-0.021514713,0.55347734,-0.540694075
0.1,9,2000,0.6885797739,0.68102812,-0.691243868,-0.021514698,-0.021514713,0.7025428182,-0.669729155
1,10,2000,3.627695E-16,-0.002789793,-0.002789793,-0.002789793,-0.002789793,0,0
0.9,10,2000,0.0765088638,0.0689445484,-0.074572473,-0.002789793,-0.002789793,0.0717343415,-0.071782679
0.8,10,2000,0.1373062309,0.1286897867,-0.134277044,-0.002789793,-0.002789793,0.1314795798,-0.131487251
0.7,10,2000,0.194885126,0.1857157858,-0.190986286,-0.002789793,-0.002789793,0.1885055789,-0.188196493
0.6,10,2000,0.2526402497,0.2420571629,-0.246684324,-0.002789793,-0.002789793,0.244846956,-0.24389453
0.5,10,2000,0.3130554943,0.3006026463,-0.306250467,-0.002789793,-0.002789793,0.3033924394,-0.303460674
0.4,10,2000,0.3789603745,0.3642950472,-0.371285853,-0.002789793,-0.002789793,0.3670848403,-0.36849606
0.3,10,2000,0.4547319606,0.4396135536,-0.4460044,-0.002789793,-0.002789793,0.4424033467,-0.443214607
0.2,10,2000,0.5492249235,0.5305061666,-0.536052086,-0.002789793,-0.002789793,0.5332959596,-0.533262293
0.1,10,2000,0.6885797739,0.6630264222,-0.668106741,-0.002789793,-0.002789793,0.6658162153,-0.665316948
